,sigma2,predicted_mean,lower_conf_mean
2739,6.932060762555479e-06,0.0031585129174242135,-0.007130574969555182
2740,6.551253397761998e-06,0.005938141082714666,-0.005673959953532879
2743,5.656799477101157e-06,0.003983957417507727,-0.005054662744969972
2744,1.7774412773314338e-05,0.005043774704246589,-0.013114086015422289
2745,4.947417329384001e-06,0.005077632327454163,-0.003288435506359867
2746,6.997737538118726e-06,0.006476190046253017,-0.006325114468006037
2747,3.1365166214480266e-06,0.004104354908152306,-0.007476400862923753
2748,7.779139320353082e-06,0.006315583047041471,-0.01832905035452233
2760,2.9174284783210958e-06,0.003322649707632735,-0.0035816469438389262
2762,7.512065499101623e-06,0.00350871750264748,-0.008019964097923903
2763,1.1845186548207208e-05,0.003696018465486744,-0.004678003254063425
2764,3.4889212200921547e-06,0.0038169382017399687,-0.006150667252363949
2769,4.5246647824449324e-06,0.0058405804406688935,-0.009950176664308611
2770,3.3477445243942916e-06,0.00340786919015221,-0.0035177887219705753
2771,4.272258270940654e-06,0.0027686100557187347,-0.014463119807150471
2777,5.716687766368239e-06,0.003982206234405157,-0.004831270254321045
2779,4.017015805393198e-06,0.004068948234897406,-0.003566420507575147
2780,3.0811400993137744e-06,0.00217115029197136,-0.01372906541109468
2790,8.150385172015937e-06,0.005642381566068594,-0.02220383792819181
2804,7.663583511396864e-06,0.0044690742124071665,-0.00717218128658328
2806,6.747473849262819e-06,0.0040450347713963915,-0.009620634150856266
2808,6.696334999681475e-06,0.005227255799976091,-0.005620905745683647
2809,7.656700373858629e-06,0.0040035828938176626,-0.01012992138051272
2812,6.303370827835265e-06,-0.0020106232319572546,-0.040163898000040214
2813,3.638103941768735e-06,0.0037378583562334843,-0.007203411181004498
2814,5.230069583848484e-06,0.0063935900656544396,-0.005511448174931827
2816,6.608324470895642e-06,0.004787306354888713,-0.006147073026123619
2817,1.5591872669746806e-05,0.001860795161223487,-0.05703484954980214
2818,1.1453381412540176e-05,-0.0031933809536367477,-0.06486598502947251
2822,9.237819517145417e-06,0.0076531749542634395,-0.01490838346145291
2825,1.7964993320885275e-05,0.003852847120626148,-0.019423495070730563
2827,1.1751020095936908e-05,0.0039427153734722725,-0.010133085009634387
2828,7.8453458554196e-06,0.004711909592844622,-0.007335410671512044
2830,8.326357955963979e-06,0.004762096413604124,-0.006142769135632679
2831,7.600745643429673e-06,0.004681184931235238,-0.0056959376156413425
2832,5.448695149284088e-06,0.003387801715915586,-0.005280859534644217
2838,1.0129049109859389e-05,0.0045283505555295915,-0.009033826950245965
2840,1.3951345982878261e-05,0.005723363941270601,-0.008613373746034138
2842,1.955422040466421e-05,0.00472334674443059,-0.01005327928008392
2852,3.982497887010055e-06,0.006436997822833686,-0.006621692072112345
2857,8.654310582652953e-06,0.00468158726359496,-0.007257701241211967
2859,1.0392163998272143e-05,0.005704287563118879,-0.006603936070389877
2861,1.993596602689666e-05,0.007076999745044621,-0.011216598532211186
2863,2.867694187010917e-05,0.009885887076502392,-0.01805506854793928
2864,6.807719411652026e-06,0.004784670560027153,-0.006608370024446486
2865,5.72719359679709e-06,0.005041019381440388,-0.003665318161446172
2871,1.2280598650818612e-05,0.003188606366720206,-0.010364220647751657
2874,4.042633777833292e-06,0.005637608603944608,-0.005329108223768358
2878,1.0999586600190005e-05,0.006193869432959716,-0.010012467861524878
2879,4.562677938495934e-06,0.005585460416892799,-0.004626844574180018
